"V1","V2","V3","V4","V5","V6","V7","V8"
"PredatorName","PreyName","lower95","upper95","mle","simpleaverages","bootaverage","bootmode"
"Bioeroding Fish","Gag_grouper","4.02151946825099e-13","0.00996654564738897","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Red_grouper","4.02151946826012e-13","0.00996654564738964","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Scamp","4.02151946825695e-13","0.00996654564738941","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Shallow_serranidae","4.02151946825397e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Deep_serranidae","4.02151946825408e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Red_snapper","4.02151946826164e-13","0.00996654564738964","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Vermilion_snapper","4.02151946825461e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Lutjanidae","4.02151946825229e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Bioeroding_fish","4.02151946825572e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Large_reef_fish","4.02151946825165e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Small_reef_fish","4.02151946825522e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Black_drum","4.02151946825462e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Red_drum","4.02151946825494e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Seatrout","4.02151946825491e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Sciaenidae","4.02151946826073e-13","0.00996654564738964","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Ladyfish","4.02151946825021e-13","0.00996654564738897","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Mullets","4.02151946825222e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Pompano","4.02151946825488e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Sheepshead","4.02151946825805e-13","0.00996654564738941","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Snook","4.02151946825605e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Flatfish","4.02151946825182e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Other_demersal_fish","4.02151946825438e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Small_demersal_fish","4.16400842749591e-05","0.0231746621000142","1.19140281241299e-10","0.0232425481395349","0.0226895793785593","0.0199920071935258"
"Bioeroding Fish","Yellowfin_tuna","4.02151946825163e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Bluefin_tuna","4.02151946825222e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Little_tunny","4.02151946825254e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Other_tuna","4.02151946825429e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Swordfish","4.02151946825414e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","White_marlin","4.02151946825773e-13","0.00996654564738941","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Blue_marlin","4.02151946825345e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Other_billfish","4.02151946825627e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Greater_amberjack","4.02151946825394e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Jacks","4.02151946825453e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","King_mackerel","4.02151946825662e-13","0.00996654564738941","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Spanish_mackerel","4.02151946825443e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Spanish_sardine","4.0215194682539e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Large_pelagic_fish","4.02151946825381e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Deep_water_fish","4.02151946825289e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Menhaden","4.02151946825658e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Pinfish","4.02151946825175e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Medium_pelagic_fish","4.02151946825265e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Small_pelagic_fish","4.02151946825603e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Blacktip_shark","4.02151946825438e-13","0.00996654564738919","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Benthic_feeding_sharks","4.02151946825592e-13","0.0099665456473893","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Large_sharks","4.02151946825277e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
"Bioeroding Fish","Filter_feeding_sharks","4.02151946825265e-13","0.00996654564738908","1.19140281241299e-10","9.99e-06","9.99100809271655e-06","9.99100809271655e-06"
